Date,Mentions of 'War'
2022-03-05,20
2022-03-04,38
2022-03-03,38
2022-03-02,52
2022-03-01,29
2022-02-28,49
2022-02-27,34
2022-02-26,37
2022-02-25,36
2022-02-24,66
2022-02-23,4
2022-02-22,7
2022-02-21,4
2022-02-20,7
2022-02-19,7
2022-02-18,4
2022-02-16,3
2022-02-15,1
2022-02-14,4
2022-02-13,3
2022-02-12,2
2022-02-11,4
2022-02-10,2
2022-02-09,4
2022-02-08,1
2022-02-07,1
2022-02-06,2
2022-02-05,2
2022-02-04,3
2022-02-03,1
2022-02-02,4
2022-02-01,9
2022-01-31,3
2022-01-30,3
2022-01-29,6
2022-01-28,6
2022-01-27,2
2022-01-26,5
2022-01-25,2
2022-01-24,5
2022-01-23,3
2022-01-22,2
2022-01-21,3
2022-01-20,3
2022-01-19,4
2022-01-18,1
2022-01-17,3
2022-01-16,3
2022-01-14,4
2022-01-13,4
2022-01-12,3
2022-01-11,1
2022-01-09,3
2022-01-08,1
2022-01-07,2
2022-01-06,4
2022-01-05,2
2022-01-04,4
2022-01-03,2
2022-01-02,1
2022-01-01,2
2021-12-30,1
2021-12-29,2
2021-12-28,2
2021-12-27,2
2021-12-26,1
2021-12-24,1
2021-12-22,1
2021-12-21,1
2021-12-20,6
2021-12-19,3
2021-12-18,3
2021-12-17,1
2021-12-16,5
2021-12-15,2
2021-12-14,2
2021-12-13,2
2021-12-12,2
2021-12-11,6
2021-12-10,1
2021-12-09,2
2021-12-08,3
2021-12-07,2
2021-12-06,7
2021-12-05,3
2021-12-04,2
2021-12-03,3
2021-12-02,1
2021-12-01,2
2021-11-29,3
2021-11-28,1
2021-11-27,1
2021-11-25,6
2021-11-24,1
2021-11-23,1
2021-11-22,1
2021-11-20,1
2021-11-18,3
2021-11-16,2
2021-11-15,2
2021-11-14,2
2021-11-13,3
2021-11-12,2
2021-11-11,3
2021-11-10,4
2021-11-09,5
2021-11-08,3
2021-11-07,1
2021-11-06,1
2021-11-05,4
2021-11-04,2
2021-11-03,3
2021-11-02,3
2021-11-01,1
2021-10-31,2
2021-10-30,3
2021-10-29,4
2021-10-28,7
2021-10-26,6
2021-10-25,1
2021-10-24,1
2021-10-23,2
2021-10-22,2
2021-10-20,3
2021-10-19,2
